"100.N.60min.1.bam" "100.N.60min.2.bam" "100.N.60min.3.bam" "500.N.10min.1.bam" "500.N.10min.2.bam" "500.N.10min.3.bam" "500.N.20min.1.bam" "500.N.20min.2.bam" "500.N.20min.3.bam" "500.N.60min.1.bam" "500.N.60min.2.bam" "500.N.60min.3.bam"
"STM14_0001" 178 186 260 48 11 53 45 25 62 239 276 343
"STM14_0002" 559 520 821 79 20 84 90 56 90 606 664 665
"STM14_0003" 517 525 692 65 20 49 81 45 96 603 629 674
"STM14_0004" 962 1075 1369 121 37 128 167 95 158 1172 1126 1329
"STM14_0005" 1801 1949 2176 461 91 275 436 272 593 1974 1825 2023
"STM14_0006" 676 666 918 199 43 131 194 125 218 1042 997 1201
"STM14_0007" 34640 34778 37339 6162 1716 5143 6872 4895 7729 35697 32628 34257
"STM14_0008" 705 723 789 238 71 184 206 121 243 882 1020 1195
"STM14_0009" 172 117 194 176 29 106 76 75 101 224 324 305
"STM14_0010" 47 48 57 12 1 8 14 4 14 111 175 215
"STM14_0011" 29 18 37 8 3 5 10 8 9 47 66 91
"STM14_0012" 6 3 1 0 0 1 1 1 0 10 14 29
"STM14_0013" 16870 14427 16697 11381 3998 30418 21384 11064 28648 8886 8285 7450
"STM14_0014" 1962 1874 2066 1265 386 2463 1674 921 1980 1077 1011 885
"STM14_0015" 1 2 1 1 0 2 0 0 0 4 3 6
"STM14_0016" 53 59 57 17 7 20 16 8 19 57 58 79
"STM14_0017" 5 1 9 5 1 1 3 2 2 10 9 20
"STM14_0018" 32 38 42 19 2 20 31 11 21 60 77 99
"STM14_0019" 31 24 31 16 4 15 16 10 25 53 36 58
"STM14_0020" 0 0 0 0 0 0 0 0 0 0 0 1
"STM14_0021" 1 0 0 0 1 0 1 0 0 2 1 1
"STM14_0022" 273 269 276 49 8 33 60 26 62 511 670 708
"STM14_0023" 94 102 113 19 4 15 20 6 12 160 248 286
"STM14_0024" 0 0 0 0 0 1 0 0 0 0 7 6
"STM14_0025" 21 14 19 10 1 3 9 5 10 50 80 95
"STM14_0026" 2 1 2 3 1 0 0 0 0 3 2 7
"STM14_0027" 5 6 14 1 1 1 2 1 1 15 9 13
"STM14_0028" 109 106 143 26 3 11 28 16 40 182 205 213
"STM14_0029" 42 51 63 9 3 9 12 7 14 59 65 83
"STM14_0030" 80 81 103 17 8 11 16 13 17 98 135 155
"STM14_0031" 56 60 75 8 4 7 13 6 11 62 81 119
"STM14_0032" 24 18 23 4 1 4 5 2 3 28 39 49
"STM14_0033" 21 19 25 6 0 2 3 3 3 35 46 69
"STM14_0034" 20 23 38 5 0 1 3 1 3 21 27 35
"STM14_0035" 54 62 71 7 3 5 4 5 9 61 77 92
"STM14_0036" 33 27 41 3 0 5 6 2 5 39 32 81
"STM14_0037" 7 6 9 3 1 2 3 0 1 22 26 24
"STM14_0038" 19 21 25 8 1 2 4 1 4 33 53 74
